Rice Variety	ROS	OSRMC	SUB1A	CAT	SNCA3	Stress_Condition
IR 50	1.942749287	2.528692473	2.232764138	2.425963834	2.433026608	Healthy
TRY 3 (Trichy 3)	2.501003641	2.323600394	2.458776183	2.283608506	2.518696029	Healthy
TKM 9	3.244273181	3.310423146	2.876686712	2.487575389	3.303185964	Drought_Stress
ADT 45	2.3	3.43	2.78	3.1	3.44	Salinity_Stress
ABC-101	2.107093906	2.070218098	2.389984641	2.033377917	2.937650092	Healthy
Jaya	3.084942474	3.10288429	2.375997783	2.158857759	2.469001718	Drought_Stress
IR 64	3.480610238	3.035207611	2.346459435	2.605906786	2.471825461	Drought_Stress
IR 64	1.96829608	2.437815838	2.459016311	2.170600077	2.617410364	Healthy
CO 43	3.01	3.17	2.22	2.64	3.36	Drought_Stress
Pusa Basmati 1	2.076649205	2.737238731	2.017286237	3.20699863	3.32495197	Salinity_Stress
PQR-303	2.83	3.03	2.15	2.03	2.64	Drought_Stress
VGD 59	3.121416386	3.416146019	2.887096067	2.643710238	2.493388765	Drought_Stress
ADT 45	2.582362225	1.826516501	2.882548323	3.126987613	3.365303672	Salinity_Stress
PMK 3 (Ponmani)	3.0366376	3.292746987	2.536069244	2.794151627	3.015385315	Drought_Stress
PMK 3 (Ponmani)	2.413233905	2.876692239	2.062873443	3.048502059	3.165832029	Salinity_Stress
Swarna	2.168348806	2.724988753	2.906140447	2.61751697	2.633730781	Healthy
PMK 3 (Ponmani)	2.081409091	2.698844012	2.781412416	2.116284129	2.684306506	Healthy
LMN-404	2.862766348	2.211255692	2.106563527	2.846348384	3.467276668	Salinity_Stress
White Ponni	2.239505354	1.852799436	2.444558961	2.221941059	2.967281016	Healthy
VGD 59	2.87441963	3.53495598	2.245912472	2.067831119	2.525409898	Drought_Stress
ADT 45	2.597726441	3.129256532	2.65993022	3.040044897	3.312678292	Salinity_Stress
White Ponni	3.136441902	3.186389503	2.486025499	2.323602928	2.852959756	Drought_Stress
VGD 59	3.4672717	3.234604025	2.787599421	3.030436082	2.563319289	Healthy
White Ponni	2.245171548	1.911690694	2.510142852	2.067033396	2.604639071	Healthy
ASD 16	2.725734661	2.852606485	2.728748153	3.058891795	3.15905507	Salinity_Stress
CORH 3 (Hybrid Rice)	2.84	3.69	2.52	2.83	2.76	Drought_Stress
ADT 37	3.41750609	3.294155477	2.1836369	2.906849255	3.061930298	Salinity_Stress
XYZ-202	2.142228962	1.825047403	2.334084823	2.946233566	3.413747384	Salinity_Stress
TRY 3 (Trichy 3)	2.19233614	2.778845707	2.212150473	2.199144621	2.53110353	Healthy
MDU 5	2.246851779	2.260830278	2.37848083	2.287532207	2.764605328	Healthy
IR 36	2.063362546	1.886203459	2.70761686	2.711837944	2.731916493	Healthy
PQR-303	3.153310857	3.294377542	2.91437955	2.887056856	3.427023829	Drought_Stress
Jaya	2.466181344	2.126851903	3.006835212	2.356016644	2.87253772	Healthy
BPT 5204 (Sona Masuri)	3.454693377	3.322087218	2.433316954	2.541905643	3.015485652	Drought_Stress
Jaya	1.960156416	2.774126859	2.112150943	2.205387212	2.385470991	Healthy
IR 64	3.353949277	3.403840134	2.197610908	2.13344961	3.337236438	Drought_Stress
IR 50	2.218786578	3.531578217	2.928783777	3.079837981	3.266617785	Salinity_Stress
TRY 3 (Trichy 3)	2.485310398	2.317816981	2.058561897	2.348990178	2.954454964	Healthy
ABC-101	3.019398322	3.627237725	2.053350748	3.037568908	2.405435454	Drought_Stress
ADT 37	2.355974495	2.973973056	2.487061104	3.166447351	3.440603364	Salinity_Stress
CORH 3 (Hybrid Rice)	2.239732628	2.722876629	2.389770105	3.18332359	3.404583844	Salinity_Stress
VGD 59	2.076718112	2.170784259	2.911474035	2.643149003	2.924358395	Healthy
ASD 16	2.229284549	2.112509777	2.850396863	2.332506314	2.987106898	Healthy
ADT 43	3.111328623	3.594043314	2.485691499	2.7905746	3.312715712	Salinity_Stress
ADT 45	2.08035606	2.80235343	2.130349795	2.687592115	2.511753143	Healthy
IR 50	1.887158659	2.203163221	2.164158789	2.119641805	2.421320474	Healthy
ADT 43	2.355603008	2.803886891	2.424653727	3.158376829	3.292591171	Salinity_Stress
IR 36	3.245421928	2.608690289	2.633417176	3.158862688	3.493296569	Healthy
Pusa Basmati 1	2.855063223	3.611487689	2.591700995	2.442859015	3.066539226	Drought_Stress
MDU 5	2.958061876	2.668879717	2.896379298	3.127258339	3.366244666	Salinity_Stress
VGD 59	3.249193184	2.62241952	2.027838648	2.886673196	3.48910831	Salinity_Stress
ADT 43	2.106582098	3.410579419	1.956045576	2.898199904	3.292982578	Salinity_Stress
IR 64	2.517588793	3.192183658	2.208192138	3.0073927	3.09371559	Salinity_Stress
ABC-101	3.350380305	3.131729851	2.27342125	3.078658862	3.299453098	Drought_Stress
White Ponni	2.83	3.67	2.16	2.87	3.39	Salinity_Stress
BPT 5204 (Sona Masuri)	2.98346796	2.233218607	1.981757428	3.144209455	3.208479903	Salinity_Stress
IR 64	2.95	3.55	2.55	2.45	3.2	Drought_Stress
CORH 3 (Hybrid Rice)	2.911901949	3.608409559	2.565322316	2.756580824	2.798154542	Drought_Stress
ASD 16	2.10032419	2.15380504	2.812163035	2.693033517	2.417532529	Healthy
TRY 1 (Trichy 1)	2.86	3.34	2.4	2.28	3.16	Drought_Stress
MDU 5	1.813122901	2.779984857	2.557456354	2.089470297	2.664425057	Healthy
PMK 3 (Ponmani)	2.158624451	2.556459308	2.766910496	2.045706305	2.973847979	Drought_Stress
Jaya	2.897945166	3.679076527	2.843873331	2.760182018	3.310264742	Drought_Stress
Pusa Basmati 1	2.690263035	3.744544963	2.69525085	3.100255294	3.282857835	Salinity_Stress
TRY 3 (Trichy 3)	2.26	2.08	2.93	2.15	2.68	Healthy
TKM 9	1.89	1.9	2.8	2.54	2.83	Healthy
PQR-303	2.40627624	3.765480095	1.966945494	3.156621096	3.153855332	Salinity_Stress
ADT 43	3.21	2.05	2.51	2.96	3.08	Salinity_Stress
MDU 5	1.911559351	2.164883532	2.987870773	2.648603254	2.763286848	Healthy
ADT 43	2.097081836	3.633220539	2.470237546	2.967513597	3.472170817	Salinity_Stress
XYZ-202	1.811417208	2.559810612	2.291436067	2.013455024	2.644105063	Healthy
PQR-303	2.105027649	2.335357615	2.178587875	3.174266455	3.23256893	Salinity_Stress
ADT 37	3.03	3.66	2.67	2.22	2.73	Drought_Stress
ADT 45	2.566579657	2.452571819	2.374974744	3.11874753	3.461794308	Healthy
TRY 1 (Trichy 1)	2.067435103	2.66356726	2.516568756	2.195066974	2.692123708	Healthy
IR 50	2.570949605	1.994969375	1.893860724	3.129814969	3.094134585	Salinity_Stress
XYZ-202	3.308747999	3.118630653	2.336664968	3.013783092	3.387805328	Drought_Stress
Swarna	3.38	3.54	1.91	3.15	2.79	Drought_Stress
CO 43	2.086504347	2.282274353	2.10904375	2.350225614	2.577782477	Healthy
Swarna	2.003488102	1.796590067	2.156565495	2.119692569	2.483837557	Healthy
ASD 16	2.23733817	3.477515687	2.343803891	2.950865222	3.221265108	Salinity_Stress
TRY 1 (Trichy 1)	2.85	3.73	2.17	2.72	3.22	Drought_Stress
CORH 3 (Hybrid Rice)	1.98	1.94	2.3	2.41	2.9	Healthy
ADT 45	3.220027521	1.886103331	2.241124714	3.014238965	3.414440444	Salinity_Stress
CORH 3 (Hybrid Rice)	2.26	2.31	2.71	2.49	2.74	Healthy
ADT 43	2.12	2.21	2.68	2.1	2.66	Healthy
TRY 1 (Trichy 1)	2.329840989	2.254190898	2.080890562	2.239823968	2.739285146	Healthy
TKM 9	2.868816291	3.352237554	2.285969668	2.906639517	3.419100145	Drought_Stress
MDU 5	2.483132073	2.565311637	2.498799067	2.478323607	2.719889142	Healthy
IR 50	2.966496578	3.358643886	2.006213625	2.978622784	3.224888112	Salinity_Stress
PQR-303	2.61	1.93	2.07	2.91	3.06	Salinity_Stress
XYZ-202	3.326096091	3.217753806	2.045298389	2.175940739	3.384756645	Drought_Stress
Pusa Basmati 1	2.462795679	1.803699755	2.798531765	2.139906086	2.566096123	Healthy
IR 50	2.820809131	3.09623602	2.697524641	3.148290787	2.469519803	Drought_Stress
ADT 45	2.090898439	1.8996034	2.564658052	2.202716095	2.416991966	Healthy
ADT 37	3.02090472	3.672127345	2.663804877	2.231456524	2.731357583	Drought_Stress
PMK 3 (Ponmani)	3.060134247	3.336177295	2.153959814	2.54616394	2.697288676	Drought_Stress
TRY 3 (Trichy 3)	3.323777047	3.5801841	2.930387615	3.04863845	3.244930067	Drought_Stress
ASD 16	2.383108138	2.410841983	2.464696358	2.631024163	2.435296298	Healthy
ADT 45	2.281612488	3.437824723	2.781464073	3.093884151	3.43854765	Salinity_Stress
ADT 45	2.052837446	3.309808549	2.287268565	2.864910515	3.040061094	Salinity_Stress
White Ponni	2.75105808	2.003475811	2.920433386	3.005400751	3.078354764	Salinity_Stress
BPT 5204 (Sona Masuri)	1.92	1.98	2.53	2.55	2.51	Healthy
IR 50	2.26	2.01	2.76	2.54	2.81	Healthy
MDU 5	2.54	3.24	1.99	3.03	3.21	Salinity_Stress
CO 43	3.19	3.36	2.31	2.39	2.73	Drought_Stress
TRY 1 (Trichy 1)	3.42	3.73	2.1	2.77	3.01	Drought_Stress
ADT 43	3.216117698	3.216773528	2.922778274	2.371241653	2.965913168	Drought_Stress
Pusa Basmati 1	1.848825366	2.752963225	2.879959469	2.62612909	2.416323134	Healthy
IR 50	3.164155958	3.367049708	2.746527746	2.799986639	3.363990968	Drought_Stress
White Ponni	2.754281288	1.865243355	2.718935554	3.018390876	3.282791973	Salinity_Stress
IR 64	2.519477485	1.834081641	1.964354809	2.680181043	2.848167645	Healthy
White Ponni	3.165775048	3.108902233	1.941533385	2.440767917	3.303947183	Drought_Stress
TRY 1 (Trichy 1)	3.198985159	3.782276347	2.047054589	3.154682671	3.196992865	Salinity_Stress
ADT 43	3.308531972	2.699433709	2.947055668	2.84535563	3.018341129	Salinity_Stress
PQR-303	2.31	2.19	2.29	2.51	2.91	Healthy
PMK 3 (Ponmani)	3.335026342	3.394083254	2.58882176	2.895227871	3.239589295	Drought_Stress
Jaya	2.94982103	1.824947128	2.90381301	2.996006527	3.247385368	Salinity_Stress
ABC-101	2.8	3.62	2	2.98	3.33	Salinity_Stress
ADT 37	2.24	1.98	2.33	2.25	2.69	Healthy
ADT 37	3.020748776	3.680910151	2.675756655	2.236477192	2.723962062	Drought_Stress
XYZ-202	3.198014169	3.056852257	2.053307203	2.870446697	2.405611987	Drought_Stress
VGD 59	3.473459361	3.210210653	2.804211668	3.03651587	2.5485141	Drought_Stress
CORH 3 (Hybrid Rice)	3.08731569	3.219179548	2.339294263	3.077405936	3.367024136	Drought_Stress
IR 50	1.826459403	2.690240881	2.233289751	2.104809509	2.486868429	Drought_Stress
ADT 45	2.985056273	3.02504132	2.843647988	3.157038978	2.583440534	Drought_Stress
ADT 43	2.672072007	1.820230944	2.08874469	2.820892463	3.449519322	Salinity_Stress
Pusa Basmati 1	3.244374107	3.788372106	1.944863839	2.569930411	3.198021048	Drought_Stress
White Ponni	2.015007948	2.370933707	2.809412438	2.20677417	2.427075134	Salinity_Stress
CORH 3 (Hybrid Rice)	3.462669322	3.790358894	1.945079296	2.574225033	3.08650939	Drought_Stress
ABC-101	2.849207397	3.561431715	2.920357634	3.11999742	2.701270714	Drought_Stress
MDU 5	2.089508774	2.422710082	2.288569946	2.262056023	2.581037748	Healthy
TRY 3 (Trichy 3)	2.206267711	2.545277232	2.400822483	2.42186574	2.601106673	Healthy
TRY 3 (Trichy 3)	3.45913688	3.029230783	1.9130709	2.684473729	3.012075181	Drought_Stress
IR 36	3.041194163	2.307968944	1.98031642	3.031092981	3.234878422	Salinity_Stress
TKM 9	2.786803517	3.359780668	2.392599522	2.285787988	2.797119019	Drought_Stress
ADT 43	2.11	2.09	2.89	2.55	2.65	Healthy
White Ponni	2.994937607	3.11111178	2.964048307	2.361339597	3.027410546	Drought_Stress
TKM 9	2.060396882	2.389389643	2.662622776	2.945268279	3.157077132	Salinity_Stress
ASD 16	3.045544616	3.074017775	2.48333215	2.083076586	2.451883407	Drought_Stress
CO 43	1.952587947	2.06908038	2.279237676	2.52712722	2.877631875	Healthy
ADT 43	3.455683415	3.144438894	2.252090075	2.933449965	2.740570389	Drought_Stress
Jaya	2.266132341	1.88682459	1.968262051	2.286541522	2.518904046	Healthy
ASD 16	2.036341246	2.52408022	1.955648293	2.611292194	2.821397603	Healthy
ADT 37	2.94159757	3.443667528	2.572135181	2.599737927	2.867162158	Drought_Stress
TRY 1 (Trichy 1)	3.28	3.29	2.2	3.15	2.71	Drought_Stress
IR 50	2.14	1.9	2.15	2.47	2.6	Healthy
Jaya	2.032905297	1.92116346	2.312014166	2.60638781	2.61738205	Salinity_Stress
IR 50	3.118860665	3.109750697	2.563677422	2.513037363	2.410331365	Drought_Stress
White Ponni	3.135153174	3.624096839	2.602870044	2.947532995	2.692794428	Drought_Stress
Jaya	3.21758485	3.299439635	2.537200974	3.124312071	3.493565958	Drought_Stress
ADT 45	2.47	2.23	2.71	3.15	3.13	Salinity_Stress
IR 36	2.24	2.97	2.4	3.2	3.03	Salinity_Stress
LMN-404	3.460468933	3.398997522	2.114480349	2.910595432	3.175887606	Drought_Stress
XYZ-202	1.848469242	3.486235357	2.771380822	3.004754059	2.993687885	Salinity_Stress
VGD 59	2.74221317	3.364261487	2.501560365	3.054862392	2.996375284	Salinity_Stress
CORH 3 (Hybrid Rice)	2.38	1.88	2.28	2.53	2.95	Healthy
ADT 43	2.244799122	2.756482584	2.72881148	2.443569612	2.941456803	Healthy
TRY 3 (Trichy 3)	2.087967017	1.874773969	1.960715591	2.032810465	2.889722073	Healthy
IR 50	2.452089147	3.366553814	2.578049477	3.140289653	3.113057221	Salinity_Stress
White Ponni	2.98827459	3.174970268	2.213264442	2.021263269	3.37010255	Drought_Stress
ASD 16	2.233362744	2.78402608	2.675245471	2.201616896	2.866087118	Healthy
PQR-303	2.585453385	1.904729498	2.577412599	3.006823375	3.252115542	Salinity_Stress
TRY 3 (Trichy 3)	2.19	2.12	2.3	3.11	3.28	Salinity_Stress
TKM 9	2.16	2.98	1.95	2.95	3.36	Salinity_Stress
IR 20	3.143359399	3.127798213	2.999008526	2.697345654	3.064664713	Drought_Stress
ADT 37	2.86	3.52	2.84	2.83	3.26	Salinity_Stress
TRY 3 (Trichy 3)	2.129078831	2.292210406	2.782059441	2.443263024	2.545159168	Healthy
ABC-101	3.264807794	3.711069018	1.925955596	2.935392955	2.847696861	Drought_Stress
BPT 5204 (Sona Masuri)	3.16	3.61	2.03	2.73	2.5	Drought_Stress
IR 64	2.719700263	2.502787994	2.441892405	2.878216656	3.439912685	Salinity_Stress
CO 43	2.267815581	3.41487071	2.959922866	3.164484303	3.246079956	Salinity_Stress
ADT 45	3.441576474	3.392326749	2.787865337	2.784410683	2.914818856	Drought_Stress
White Ponni	2.718707422	2.030320067	2.918874192	3.025741465	3.107106411	Salinity_Stress
IR 50	2.941691968	3.815155205	2.065226728	2.975538195	3.447017463	Salinity_Stress
ABC-101	2.503105707	2.219123061	1.982316239	2.544075792	2.784920578	Healthy
IR 36	2.342969965	2.32752626	2.937361681	2.028481868	2.814178297	Healthy
Swarna	2.42560372	1.805917989	2.271876354	2.942775976	3.470551985	Salinity_Stress
LMN-404	2.07	1.9	2.97	2.09	2.61	Healthy
IR 36	2.8754918	3.370744045	1.938999037	3.151235488	2.613038875	Drought_Stress
IR 36	2.153645049	3.03496034	2.74336294	3.027850658	3.167683646	Salinity_Stress
IR 36	2.372395893	2.139935296	2.425998243	2.062440147	2.931634022	Healthy
PMK 3 (Ponmani)	3.264321255	3.023925723	2.906356684	2.108428446	3.371429415	Drought_Stress
CO 43	2.92	3.02	2.2	2.71	2.98	Drought_Stress
IR 64	2.63	2.58	2.96	2.81	3.04	Salinity_Stress
TRY 3 (Trichy 3)	2.05	2.36	2.33	2.15	2.83	Healthy
ABC-101	2.886183103	3.535361132	2.929165699	3.117806158	2.714058915	Drought_Stress
IR 64	3.45	3.28	1.96	2.52	3.26	Drought_Stress
CO 43	1.98981341	2.056207529	2.281869743	2.539420724	2.903849659	Healthy
CO 43	3.23432013	3.243236952	2.679697289	2.013341139	3.443725422	Drought_Stress
PMK 3 (Ponmani)	1.821373026	1.938436166	2.32615268	2.454953884	2.827979758	Healthy
Swarna	2.326070776	2.607137103	2.19733778	2.662155161	2.771618755	Healthy
XYZ-202	3.283151002	3.645365009	2.565210143	3.014829786	3.407136864	Salinity_Stress
Pusa Basmati 1	3.211752116	3.364315992	2.078069767	2.839485846	2.9404069	Drought_Stress
PQR-303	3.182655369	3.539527554	2.554835962	2.453824946	3.463501918	Drought_Stress
BPT 5204 (Sona Masuri)	2.453363096	2.099765727	2.502370153	2.16044952	2.602601378	Healthy
TRY 3 (Trichy 3)	3.31	3.6	2.92	3.05	3.25	Drought_Stress
Jaya	1.972957015	2.391634222	2.891339966	2.330624522	2.932978282	Healthy
IR 50	2.637160257	2.583225715	2.839984845	2.948396786	3.047734455	Salinity_Stress
ADT 43	2.296504267	2.417118822	2.681721742	1.989527449	2.831563598	Healthy
TRY 1 (Trichy 1)	2.38205411	2.035380949	2.073642006	2.643530946	2.637734157	Healthy
TRY 1 (Trichy 1)	2.958237242	3.589018233	1.987548921	2.966554229	2.752420753	Drought_Stress
CO 43	2.245812312	2.34889425	2.141568078	2.42931333	2.928697727	Healthy
IR 20	2.247170793	2.683681142	2.800787144	2.302045446	2.802533553	Healthy
BPT 5204 (Sona Masuri)	2.205318675	2.359576518	1.921586242	2.161843324	2.747515272	Healthy
ADT 43	3.325338814	2.715506502	2.948982938	2.831789614	3.002218688	Salinity_Stress
TRY 3 (Trichy 3)	3.231857112	3.219465059	2.640878535	2.927955209	2.887426073	Drought_Stress
LMN-404	2.676424971	1.938003794	1.923879472	3.162354378	3.341584567	Salinity_Stress
CORH 3 (Hybrid Rice)	1.908582396	2.454659422	2.569662918	2.258233836	2.864455938	Healthy
PQR-303	3.141939884	3.508812916	2.556139569	2.444247167	3.460315721	Healthy
Swarna	3.241213717	1.817333133	2.246816468	3.052925034	3.247739662	Salinity_Stress
LMN-404	2.427649131	2.413243679	2.060015965	2.919299128	3.011893108	Salinity_Stress
TRY 3 (Trichy 3)	1.968368786	1.809849025	2.613902499	2.363573735	2.48001679	Healthy
ABC-101	2.22	2.58	2.52	2.22	2.57	Healthy
ADT 43	2.115727447	2.246378871	2.688204506	2.108356647	2.663963458	Healthy
XYZ-202	3.3	3.2	2.45	2.74	3.14	Drought_Stress
BPT 5204 (Sona Masuri)	2.765728282	3.494232029	2.155784395	2.961018594	3.1920981	Salinity_Stress
TRY 1 (Trichy 1)	1.993213806	2.447673999	2.269689672	2.683979918	2.610070942	Healthy
ABC-101	3.3	3.56	2.09	2.89	3.36	Drought_Stress
PMK 3 (Ponmani)	3.09062111	3.716970512	2.852019236	2.025222826	2.692451589	Drought_Stress
White Ponni	2.007046859	2.591418811	2.660193121	2.649339444	2.743907979	Drought_Stress
CORH 3 (Hybrid Rice)	3.484656787	3.140309527	2.430590582	2.796400101	3.209087616	Drought_Stress
Swarna	2.16	2.74	2.89	2.62	2.61	Healthy
TRY 3 (Trichy 3)	2.02579844	2.368667998	2.338656398	2.158819481	2.839435781	Healthy
PQR-303	2.286890022	2.234825581	2.321346776	2.050689053	2.550799315	Healthy
IR 20	1.860183372	2.128760189	2.97489986	2.354864029	2.627044182	Healthy
LMN-404	2.389449936	2.631519751	2.432010073	2.243522444	2.457488798	Healthy
White Ponni	2.185001432	2.691465336	2.672553478	1.994090427	2.74514613	Healthy
White Ponni	3.23	3.66	2.47	2.91	3.1	Salinity_Stress
ASD 16	3.288580836	3.670097962	2.010326205	2.690648239	2.569502272	Drought_Stress
White Ponni	2.95	3.41	2.99	2.98	3.39	Salinity_Stress
CO 43	3.215935878	3.45159858	2.57734151	2.223006894	2.430195418	Drought_Stress
TRY 1 (Trichy 1)	2.315667254	2.024587014	2.086207015	2.655023314	2.624620543	Healthy
IR 36	2.180152432	2.752617091	2.626946387	3.186421529	3.153668478	Salinity_Stress
XYZ-202	3.234118944	3.040350824	2.080731255	2.859558228	2.398187315	Drought_Stress
XYZ-202	2.876173116	3.400561705	1.916729478	2.473462811	2.930918941	Drought_Stress
CO 43	2.914361341	3.023050834	2.197956815	2.718224195	2.983081696	Drought_Stress
XYZ-202	2.45	2.25	2.53	2.11	2.43	Healthy
IR 20	1.91	2.06	2.65	2.26	2.66	Healthy
ASD 16	3.31	3.08	2.26	2.13	2.95	Drought_Stress
Pusa Basmati 1	2.830529408	3.509125531	1.949254219	2.96503949	3.208014229	Drought_Stress
IR 20	3.264459555	3.174835103	2.771172353	2.800357694	3.27690445	Drought_Stress
IR 20	2.35	2.56	2.41	2.6	2.68	Healthy
TRY 3 (Trichy 3)	3.37	3.23	2.07	2.48	3.06	Drought_Stress
BPT 5204 (Sona Masuri)	2.865051964	3.207882385	2.607874172	2.06310354	2.527993752	Salinity_Stress
White Ponni	3.171131937	3.099968381	1.93325217	2.43486392	3.286349921	Drought_Stress
ADT 37	2.147730426	3.514284775	1.939781349	3.043308768	3.109995773	Salinity_Stress
IR 20	3.384106861	2.53245703	2.873497341	2.959195741	3.138056455	Salinity_Stress
MDU 5	2.34570909	2.566280609	2.220577953	2.173260705	2.737129111	Healthy
ASD 16	3.2	3.12	2.22	2.46	3.27	Drought_Stress
Swarna	2.178177638	2.175049856	2.065778921	2.288582299	2.517032582	Healthy
Pusa Basmati 1	3.33465935	3.385219277	2.845571214	2.340371989	2.954333834	Drought_Stress
IR 50	2.960679886	2.361498343	1.953018345	3.110956004	3.159458974	Salinity_Stress
ASD 16	3.384570552	3.610703955	2.460297435	2.914436263	2.653469872	Drought_Stress
MDU 5	2.13348458	3.438742753	2.889573256	2.83656742	3.027444915	Salinity_Stress
ADT 45	3.178371967	3.176958376	2.038530817	2.018489582	3.359523598	Drought_Stress
TRY 1 (Trichy 1)	2.800254438	3.316269375	2.550967287	3.144905167	2.802943508	Drought_Stress
Jaya	2.090740737	2.536492185	2.539322431	2.304377206	2.437623619	Healthy
White Ponni	2.15	2.08	2.57	2.23	2.83	Healthy
IR 20	2.116139144	2.55304285	2.945137184	2.498785681	2.607411823	Healthy
CORH 3 (Hybrid Rice)	3.110332503	3.234085455	2.183727326	2.928938231	3.02429737	Salinity_Stress
ASD 16	3.119135204	2.24729881	2.240583786	3.049102932	3.190324861	Salinity_Stress
White Ponni	3.01	3	2.19	2.94	3.36	Salinity_Stress
CORH 3 (Hybrid Rice)	3.05	3.09	2.79	2.95	2.44	Drought_Stress
MDU 5	3.19266011	3.645174006	2.685434411	2.159232131	2.738965673	Drought_Stress
MDU 5	3.232273513	2.98931987	2.637468132	3.031686619	3.152625565	Salinity_Stress
ADT 43	3.368068761	2.414236682	2.530208315	2.810635817	3.269485682	Salinity_Stress
IR 36	3.193303257	3.571706687	2.666329482	2.941586935	3.06552122	Salinity_Stress
LMN-404	3.41	2.81	2.88	2.97	3.47	Salinity_Stress
TRY 3 (Trichy 3)	2.872495915	2.172838395	2.360281382	3.139851185	3.111466011	Salinity_Stress
XYZ-202	3.055545905	3.510785698	2.070055163	2.560358426	3.19893909	Drought_Stress
PQR-303	2.106200334	2.622176106	2.286653705	2.379683698	2.436120893	Healthy
IR 50	3.378197743	3.397199077	2.724237638	2.386240665	2.55206775	Drought_Stress
PQR-303	3.47	3.62	2.29	2.53	3.4	Drought_Stress
Swarna	2.26299572	2.320065535	2.051395025	2.608203141	2.53648686	Drought_Stress
ADT 43	2.978446914	2.69000402	2.917888629	3.140397874	3.375589538	Salinity_Stress
ADT 37	2.719105427	2.999323563	1.936853093	2.800882908	3.384755555	Salinity_Stress
TRY 1 (Trichy 1)	2.964253336	3.548684352	2.824647699	2.494634917	2.987360984	Drought_Stress
TRY 1 (Trichy 1)	2.909946876	3.709968023	2.213573979	2.5651391	3.42548102	Drought_Stress
IR 50	1.935919725	2.400293574	2.919640544	2.257539526	2.743900492	Healthy
Swarna	2.99	3.58	2.85	2.92	2.88	Drought_Stress
MDU 5	2.955841764	3.748569413	2.334552889	3.120535366	3.259888979	Salinity_Stress
LMN-404	1.844134109	1.841640615	2.257572414	2.667730288	2.588414384	Healthy
Jaya	2.9	1.89	1.9	3.09	3.28	Salinity_Stress
White Ponni	3.046231495	2.54266093	2.300163005	3.124291607	3.458251274	Salinity_Stress
PQR-303	1.93	2.04	2.59	2.52	2.77	Healthy
IR 50	3.489244235	2.940230696	2.815750005	2.957217299	3.400781931	Salinity_Stress
PQR-303	1.91923086	2.625221537	2.267607915	2.650459024	2.500817547	Healthy
LMN-404	2.056154226	2.56462802	2.493209427	2.087956836	2.432897377	Healthy
ADT 45	2.925209431	3.59012429	2.388417094	2.11178081	2.902734074	Drought_Stress
TKM 9	2.47176187	2.498105957	2.221696918	2.331148636	2.931201043	Healthy
